Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
'1000000475870355','1000010688583251',patanjali-kesar,Patanjali Kesar                             1 g,"<b>Product Information</b> (Saffron)is a spice derived from the flower of Crocus sativus known as saffron crocus and is used mainly as a seasoning or coloring agent in food.
<b>Benefits</b>1.It is a powerful antioxidant. It may improve mood and treat depressive symptoms. It act as an aphrodisiac. Saffron is highly beneficial for radiant skin.2.Saffron help to glowing skin. Saffron is having many antioxidants that are beneficial in contending of free radicals thereby helps in prevention of diseases and promotion of health. 3.Saffron is good for digestion due to presence of multiple medicinal compounds and an anticonvulsant. The presence of minerals such as cooper, potassium, calcium, manganese, iron, magnesium, zinc and selenium, promotes optimum health.4. Saffron is used to enhance men’s vitality.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best before-18 months from manufacturing date.",Patanjali,,natural-health-care,FALSE,,[],Size,1 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/168871487487c08e9ae5.jpeg,1,Patanjali Kesar                             1 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870356','1000010688583252',patanjali-amla-aloevera-with-wheatgrass-juice,Patanjali Amla-Aloevera with Wheatgrass Juice                             500 ml,"<b>Product Information</b>Amla Aloe Vera wheatgrass juice helps to improve natural immune system. It improves digestion and useful for better heart health. It also helps in weight loss.
<b>Benefits</b>
<b>Ingredients</b>Composition :Each 10 ml contains:Amla (Embelica Officinalis) 3.986 ml,Aloevera (Aloe Barbadensis) 3.986,Wheat Grass (Triticum Sativum) 1.99 ml,Excipients :Citric AcidPreservatives :Sodium BenzoatePotassium Sorbate 
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,natural-health-care,FALSE,,[],Size,500 ml,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/1688714853b56bb79f90.png,1,Patanjali Amla-Aloevera with Wheatgrass Juice                             500 ml,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870357','1000010688583254',combo-patanjali-bel-murabba-1-kg-pack-of-2-rs-50-off,Combo- Patanjali Bel Murabba 1 Kg(Pack of 2) - Rs 50 Off                             2 kg,"<b>Product Information</b>
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,natural-food-products,FALSE,,[],Size,2 kg,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/1688714853f374c057ad.jpeg,1,Combo- Patanjali Bel Murabba 1 Kg(Pack of 2) - Rs 50 Off                             2 kg,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870358','1000010688583253',patanjali-maize-atta,Patanjali Maize Atta                             1 kg,"<b>Product Information</b>Maize flour is made from corn, which is one of the world's largest crops. Maize flour is used to make bread, muffins, doughnuts, pancake mixes, infant foods, biscuits, wafers, breakfast cereals and breading, and as a filler, binder and carrier in meat products. Corn flour is essentially dried corn that has been grounded into soft, fine particles.
<b>Benefits</b>Rich in potassium and magnesium.Rich in vit A and B6.Improves metabolism.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,natural-food-products,FALSE,,[],Size,1 kg,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/168871485389231ae8e8.jpeg,1,Patanjali Maize Atta                             1 kg,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870359','1000010688583255',patanjali-chyawanprabha-advance-no-added-sugar,Patanjali Chyawanprabha Advance No Added Sugar                             750 g,"<b>Product Information</b>Patanjali Chyawanprabha Advance is a scientifically formulated herbal product with no added sugar having more than 40 herbs. To understand the prevalence of diabetes in india. Patanjali chyawanprabha 
<b>Benefits</b>
<b>Ingredients</b>Oligofructose,Sweetener (INS 420 (i)), Bansalochan,Pippali,Adusa (1.2%),Sunflower oil,Natural and nature identical flavoring substances,Shaalparni,Prishnaparni,Bruhati,Kantkari-shwet,Gokhru,Mudadaparni,Bilwa,Agnimanth,Sonapatha,Gambhari,Balla,Mashaparni,kakadasingi,Bhmyamalaki,Jeevanti,Harad (0.61 %),Giloy,Ridhi,Risabhaka,Kachur,Vidaari,Nagaramotha,'Punarnava,Meda neel kamal,Kakoli,Ashwagandha,Mulethi,Adrakha (0.34 %),Draksha,Lavanga (0.20%),Shatavari bhed,Chabya,Chitraka,Dalchini,Chhoti elaichi (0.16),Tejpatra (0.16%),Nagkeshar,Kali Mircha (0.08%),Humectant (INS 422),Sweetener (INS 955, INS 950),Preservative (INS 211, INS 202),Kumkum (Kesar)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,natural-health-care,FALSE,,[],Size,750 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/16887148535c861defe7.jpeg,1,Patanjali Chyawanprabha Advance No Added Sugar                             750 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870360','1000010688583256',thandai-powder,Thandai Powder                             500 g,"<b>Product Information</b>is an Indian cold drink made with a mixture of almonds, saffron, pistachio, cardamom. it has exotic spices and can be prepared in many different ways.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best Before-9 Months from Manufacturing Date.",Patanjali,,natural-health-care,FALSE,,[],Size,500 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/1688714853aa62ab861c.jpeg,1,Thandai Powder                             500 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870361','1000010688583257',patanjali-jawar-atta,Patanjali Jawar Atta                              500 g,"<b>Product Information</b>Jowar flour is made by grinding the small round grains of jowar (white millet). It can be consumed plain, made into porridge, roti and other dishes, or used in combination with other flours. It is preferred by the gluten intolerant, and is often cooked as a porridge to be eaten alongside other foods.
<b>Benefits</b>Improves digestion.It fights against free radicals.Boosts immunity.Improves heart health.It is gluten free.Rich source of protein.Controls blood sugar level.
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>Best before 90 days from manufacturing date.",Patanjali,,natural-food-products,FALSE,,[],Size,500 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/168871485590ec01c15b.jpeg,1,Patanjali Jawar Atta                              500 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870362','1000010688583258',divya-herbal-peya,Divya Herbal Peya                             50 g,"<b>Product Information</b>Divya Herbal Peya is an herbal green tea that combines the goodness of herbs and plant products. The component herbs are enriched in vitamins and minerals so they help you recover from cough and cold, improve your general health and boost immunity. Divya Herbal Peya also improves your digestion and helps burn away excess fat and thus resolves weight problems. 

Switch to Divya Herbal Peya for your holistic wellbeing. Experience Ayurvedic healing in your everyday life.


<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>Take fresh boiled water.Dip divya herbal peya bag for 2-3 minutes and remove.Best enjoyed as a light brew, without milk or sugar.
<b>Other Product Info</b>",Patanjali,,natural-food-products,FALSE,,[],Size,50 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/16887148544cf7175af5.png,1,Divya Herbal Peya                             50 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870363','1000010688583259',patanjali-barley-dalia,Patanjali Barley Dalia                             500 g,"<b>Product Information</b>Patanjali Barley Dalia is a highly nutritious breakfast cereal made from barley. It also aids in weight loss and contains essential fiber. As a healthy breakfast or evening snack. Patanjali Barley Dalia is best for the health.  Barley dalia is an astonishing breakfast meal and is packed with dietary fiber, proteins, minerals and vitamins for an energetic and healthy metabolism.
<b>Benefits</b>Keeps Blood Sugar 20-30 % lower than normal grains.It helps in maintaining Cholesterol level.Helps in Weight loss.Good Source of Minerals: Dalia is a good source of the daily requirement of fiber and manganese.Low-Fat Diet: Dalia is extremely low in fat content.Provides good source of energy, aids in weight loss, increases metabolism.
<b>Ingredients</b>
<b>How to use</b>Boil 50 gm Barley Dalia in 400 ml water.Add cut seasonal vegetables to get wholesome nutrition and add salt to taste.Sweet recipe can also be prepared.
<b>Other Product Info</b>",Patanjali,,natural-food-products,FALSE,,[],Size,500 g,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/16887149675f71d747f3.jpeg,1,Patanjali Barley Dalia                             500 g,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
'1000000475870364','1000010688583260',patanjali-extra-fibre-atta,Patanjali Extra Fibre Atta                             1 kg,"<b>Product Information</b>Flour is best food stuff from health point of view. It is made of wheat and good for your health. Patanjali extra fiber atta foods rich in high fibre produces slower rate of stomach emptying and bulk faces pass more quickly thru large intestine and helps in keeping stomach health at optimum level. Diets in high fibre tend to be low in energy and can be useful for weight control. Patanjali extra fibre atta provides proteins vitamins and minerals for healthy lifestyle.
<b>Benefits</b>1.Normalizes bowel movements. Dietary fiber increases the weight and size of your stool and softens it.2.Helps maintain bowel health.3.Lowers cholesterol levels.4.Helps control blood sugar levels.5.Aids in achieving healthy weight. 6.Helps you live longer.
<b>Ingredients</b>Whole Wheat (85%), Wheat Bran (15%), Oat Flour (5%)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,natural-food-products,FALSE,,[],Size,1 kg,,,,,,0,,,continue,manual,0,0,true,TRUE,,https://img.btdmp.com/10433/10433196/products/origin/168871485414845f9d88.jpeg,1,Patanjali Extra Fibre Atta                             1 kg,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
