Product Id,Variant Id,Handle,Title,URL,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,aastha-agarbatti-sandal---18-stick,Aastha Agarbatti Sandal - 18 Stick,,,Patanjali,,agarbatti,TRUE,,,Size,18 stick,,,,,,0,,,continue,manual,0,0,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-tathastu---18-stick,Aastha Agarbatti Tathastu - 18 Stick,,,Patanjali,,agarbatti,TRUE,,,Size,18 stick,,,,,,1,,,continue,manual,1,1,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,1,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-rose---18-stick,Aastha Agarbatti Rose - 18 Stick,,,Patanjali,,agarbatti,TRUE,,,Size,18 stick,,,,,,2,,,continue,manual,2,2,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,2,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-rose---20-gm,Aastha Agarbatti Rose -  20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,3,,,continue,manual,3,3,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,3,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-sandal---20-gm,Aastha Agarbatti Sandal - 20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,4,,,continue,manual,4,4,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,4,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-tathastu---20-gm,Aastha Agarbatti Tathastu - 20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,5,,,continue,manual,5,5,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,5,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-rajnigandha---20-gm,Aastha Agarbatti Rajnigandha -  20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,6,,,continue,manual,6,6,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,6,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-shanti---20-gm,Aastha Agarbatti Shanti - 20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,7,,,continue,manual,7,7,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,7,TRUE,TRUE,Default,,,,,,,
,,aastha-agarbatti-rat-ki-rani---20-gm,Aastha Agarbatti Rat Ki Rani - 20 Gm,,,Patanjali,,agarbatti,TRUE,,,Size,20 gm,,,,,,8,,,continue,manual,8,8,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,8,TRUE,TRUE,Default,,,,,,,
,,aastha-bhakti-dhoop--10-stick,Aastha Bhakti Dhoop -10 Stick,,,Patanjali,,dhoop,TRUE,,,Size,10 stick,,,,,,9,,,continue,manual,9,9,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,9,TRUE,TRUE,Default,,,,,,,
,,aastha-bhakti-dhoop--20-stick,Aastha Bhakti Dhoop -20 Stick,,,Patanjali,,dhoop,TRUE,,,Size,20 stick,,,,,,10,,,continue,manual,10,10,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,10,TRUE,TRUE,Default,,,,,,,
,,aastha-deluxe-dhoop-20-n,Aastha Deluxe Dhoop 20 N,,,Patanjali,,dhoop,TRUE,,,Size,20 N,,,,,,11,,,continue,manual,11,11,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,11,TRUE,TRUE,Default,,,,,,,
,,aastha-gugal-dhoop-20-n,Aastha Gugal Dhoop 20 N,,,Patanjali,,dhoop,TRUE,,,Size,20 N,,,,,,12,,,continue,manual,12,12,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,12,TRUE,TRUE,Default,,,,,,,
,,patanjali-kesh-kanti-hair-conditioner---almond,Patanjali Kesh Kanti Hair Conditioner - Almond ,,,Patanjali,,"shampoo, best-selling",TRUE,,,Size,100 gm,,,,,,13,,,continue,manual,13,13,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,13,TRUE,TRUE,Default,,,,,,,
,,patanjali-kesh-kanti-hair-conditioner-damage-control,Patanjali Kesh Kanti Hair Conditioner (Damage Control ),,,Patanjali,,"shampoo, best-selling",TRUE,,,Size,100 gm,,,,,,14,,,continue,manual,14,14,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,14,TRUE,TRUE,Default,,,,,,,
,,patanjali-kesh-kanti-hair-conditioner-protein,Patanjali Kesh Kanti Hair Conditioner-Protein,,,Patanjali,,"shampoo, best-selling",TRUE,,,Size,100 gm,,,,,,15,,,continue,manual,15,15,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,15,TRUE,TRUE,Default,,,,,,,
,,patanjali-kesh-kanti-hair-conditioner-colour-protection,Patanjali Kesh Kanti Hair Conditioner-Colour Protection,,,Patanjali,,"shampoo, best-selling",TRUE,,,Size,100 gm,,,,,,16,,,continue,manual,16,16,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,16,TRUE,TRUE,Default,,,,,,,
,,patanjali-aloevera-moisturizing-cream,Patanjali Aloevera Moisturizing Cream,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,17,,,continue,manual,17,17,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,17,TRUE,TRUE,Default,,,,,,,
,,patanjali-footcare-cream,Patanjali Footcare Cream ,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,18,,,continue,manual,18,18,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,18,TRUE,TRUE,Default,,,,,,,
,,moisturizer-cream-50-g,Moisturizer Cream 50 G,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,19,,,continue,manual,19,19,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,19,TRUE,TRUE,Default,,,,,,,
,,sun-screen-cream-spf30--50gm,Sun Screen Cream Spf30- 50Gm,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,20,,,continue,manual,20,20,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,20,TRUE,TRUE,Default,,,,,,,
,,saundarya-nourishing-cream,Saundarya Nourishing Cream,,,Patanjali,,cream,TRUE,,,Size,50 gm,,,,,,21,,,continue,manual,21,21,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,21,TRUE,TRUE,Default,,,,,,,
,,patanjali-beauty-cream,Patanjali Beauty Cream,,,Patanjali,,cream,TRUE,,,Size,25 gm,,,,,,22,,,continue,manual,22,22,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,22,TRUE,TRUE,Default,,,,,,,
,,neem-kanti-body-cleanser-50-gm,Neem Kanti Body Cleanser 50 Gm,,,Patanjali,,"soap, best-selling",TRUE,,,Size,50 gm,,,,,,23,,,continue,manual,23,23,true,TRUE,,,,,,,,,,,,,,,,,,,,,,lb,,23,TRUE,TRUE,Default,,,,,,,
