url,Tags,lastbreadcrumb,heading,cleaned-heading,product-information,variants,product-image
https://www.patanjaliayurved.net/product/natural-health-care/digestives/digestive-health-combo-pachak-anardana-100-gmpachak-hing-goli-100-gmpachak-shodhit-harad-100-gm-pachak-ajwain-with-aloevera-100gm-rs-30-off/3358,"natural-health-care,digestives",DIGESTIVE HEALTH COMBO - PACHAK ANARDANA 100 gm+PACHAK HING GOLI 100 gm+PACHAK SHODHIT HARAD 100 gm+ PACHAK AJWAIN WITH ALOEVERA 100gm - Rs 30 Off,DIGESTIVE HEALTH COMBO - PACHAK ANARDANA 100 gm+PACHAK HING GOLI 100 gm+PACHAK SHODHIT HARAD 100 gm+ PACHAK AJWAIN WITH ALOEVERA 100gm - Rs 30 Off                             400 g,DIGESTIVE HEALTH COMBO - PACHAK ANARDANA 100 gm+PACHAK HING GOLI 100 gm+PACHAK SHODHIT HARAD 100 gm+ PACHAK AJWAIN WITH ALOEVERA 100gm - Rs 30 Off,"<b>Product Information</b>
DIGESTIVE HEALTH
  COMBO - PACHAK ANARDANA 100 gm+PACHAK HING GOLI 100 gm+PACHAK SHODHIT HARAD
  100 gm+ PACHAK AJWAIN WITH ALOEVERA 100gm *Get Rs 30 in your Wallet
<b>Other Product Info </b>
Best before 365 days from manufacturing date.",400 g,https://www.patanjaliayurved.net/assets/product_images/400x500/16889724571.png
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-melon-n-flaxseed/956,"natural-health-care,diet-food",Roasted Diet- Melon 'N' Flaxseed,Roasted Diet- Melon 'N' Flaxseed                             150 g,Roasted Diet- Melon 'N' Flaxseed,"<b>Product Information</b>
Patanjali roasted diet flaxseed is a healthy and nutritious snack made with flaxseeds in Rich in protein. Rich in dietary fibre good Source of Iron.
<b>Benefits </b>
Rich in protein. Rich in dietary fibre. Source of iron. 
<b>Ingredients </b>
Melon Seed (72%), Flaxseed (24%), Iodized Salt, Rice bran Oil, A ntioxidant (INS 307b), Natural and nature identical flavoring substances 
<b>How to use </b>
Ready to eat. 
<b>Other Product Info </b>
Best before-6 months from manufacturing date.",150 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690267709Melon'n'Flaxseed150g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690267709Melon'n'Flaxseed150g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/Melon'n'Flaxseed150g3_1690267709.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/Melon'n'Flaxseed150g4_1690267709.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/Melon'n'Flaxseed150g5_1690267709.png"
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/patanjali-roasted-diet-quinoa-puff-masala/3062,"natural-health-care,diet-food",Patanjali Roasted Diet-quinoa-Puff- masala,Patanjali Roasted Diet-quinoa-Puff- masala                             12 g,Patanjali Roasted Diet-quinoa-Puff- masala,"<b>Product Information</b>
Patanjali roasted diet quinoa masala flavour snack is high in protein, nutritious snack made from the mother of all grains I.E. ""Quinoa"" which contains all essential nine amino acids and its gluten free. It can be enjoyed anytime without any guilt as it has zero percent cholesterol and zero percent trans fat.
<b>Benefits </b>
Maintains healthy weight Gluten free High in protein 
<b>Ingredients </b>
Quinoa Palmolien Oil Spices and Condiments(Chili, Onion, Coriander, Garlic, Ginger, Cumin) Edible Common salt Sugar Milk Solids Hydrolyzed Vegetable Protein(Soya) Acidity Regulator Anticaking Agent Antioxidant 
<b>Other Product Info </b>
Best before-6 months from manufacturing date.",12 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690265302QuinoaPuff-MASALA12g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690265302QuinoaPuff-MASALA12g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuff-MASALA12g3_1690265302.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuff-MASALA12g4_1690265302.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuff-MASALA12g5_1690265302.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuff-MASALA12g6_1690265302.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuff-MASALA12g7_1690265302.png"
https://www.patanjaliayurved.net/product/natural-health-care/health-and-wellness/patanjali-jamun-vinegar/815,"natural-health-care,health-and-wellness",Patanjali Jamun Vinegar,Patanjali Jamun Vinegar                             500 ml,Patanjali Jamun Vinegar,"<b>Product Information</b>
Patanjali Jamun Vinegar is an ayurvedic proprietary medicine made with finest quality of Jamun fruit pulp (jamun guda) which is very effective in hyperglycemia, diarrhea, weakness of digestive system and urine problems.The Jamun fruit pulp or juice is used to prepare Jamun Vinegar (also called Jamun Sirka).  Jamun Vinegar can be used as other vinegar in cooking, but it actually has a great medicinal importance. It is used as a home remedy in many disorders. It is also recommended for diabetic patients to manage the hyperglycemia.
<b>Benefits </b>
According to ayurveda, jamun vinegar primarily acts on kapha dosha and reduces it. It can increase pitta dosha, so it should be best to avoid it in excess amount if you have any increased pitta symptoms. Patanjali jamun sirka is a good source of iron, used as a real medicine for diabetes, liver trouble, and heart problems. It enhances the immune system. Patanjali jamun vinegar is a rich source of vitamin a and vitamin c. Its polyphenolic compounds are effective against cancer, heart diseases, asthma, dysuria, and arthritis. Patanjali jamun vinegar is a wonderful medicine for digestive system related problems like flatulence, abdominal pain,  gastric problems, abdominal distension, bloating, diarrhea, and dysentery. 
<b>Ingredients </b>
Jamun Pulp (Syzygium cumini L. Skeels) 9.89 ml Excipients: (As per P.F.A) Caramel colour 0.01 ml 
<b>How to use </b>
Mix 10 to 20ml of vinegar with water and consume after meals or as directed by the physician. 
<b>Other Product Info </b>
Best Before-12 Months from Manufacturing Date.",500 ml,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690957677JamunVinegar500ml1-Copy.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690957677JamunVinegar500ml3.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/JamunVinegar500ml1_1690957677.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/JamunVinegar500ml2_1690957677.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/JamunVinegar500ml4_1690957677.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/JamunVinegar500ml5_1690957677.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/JamunVinegar500ml6_1690957677.png"
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-rice-crispy-mixture/1480,"natural-health-care,diet-food",Roasted Diet- Rice Crispy Mixture,Roasted Diet- Rice Crispy Mixture                             25 g,Roasted Diet- Rice Crispy Mixture,"<b>Product Information</b>
Patanjali Roasted Diet Rice Crispy Mixture is a healthy and nutritious snack made up of Rice Flakes and other grains, It is light on the stomach and filled with Vitamin-B. It can be enjoyed any time of the day as it contains zero percent trans fat and zero percent Cholesterol.
<b>Benefits </b>
It is rich source of Protein filled with Vitamin B. Rice Crispy mixture is Trans-fat Free & Cholesterol Free. Rice Flakes are Good in Digestion. 
<b>Ingredients </b>
Rice Flakes (47 %) Peanut (21%) Bengal Gram (21%) Palmolien Oil, Sugar, Edible Common Salt, Spices and Condiments (Dry Green mango powder, Chilli, Cinnamon, Jeera, Black Pepper, Turmeric, Coriander, Fennel, Curry Leaves), Black Salt, Maize Starch, Acidity Regulator (INS 330, INS 260), Anticaking Agent (INS 551), Antioxidant (INS 307B) 
<b>How to use </b>
Ready to eat. 
<b>Other Product Info </b>
Best before-7 months from manufacturing date.",25 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1689847356RiceCrispyMixture25g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1689847356RiceCrispyMixture25g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RiceCrispyMixture25g3_1689847356.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RiceCrispyMixture25g4_1689847356.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RiceCrispyMixture25g5_1689847356.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RiceCrispyMixture25g6_1689847356.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RiceCrispyMixture25g7_1689847356.png"
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-flaxseed-black-salt/954,"natural-health-care,diet-food",Roasted Diet- Flaxseed Black Salt,Roasted Diet- Flaxseed Black Salt                             150 g,Roasted Diet- Flaxseed Black Salt,"<b>Product Information</b>
Patanjali Roasted Diet Flaxseed Black Salt is a healthy and nutritious snack made with Flaxseeds that helps in protecting against Breast colon and Prostate cancer, also it is rich in Omega 3 fatty acids which keeps heart healthy. It can be enjoyed anytime as it has zero percent trans fat and zero percent cholesterol.
<b>Benefits </b>
1. Flaxseed is rich in Omega 3 Fatty acids α-Linoleic acid which keeps heart healthy. 2. Flaxseeds is a good source of Dietary Fibre which is useful for preventing constipation. 3. Flaxseeds is rich source of vitamins, minerals & high quality protein. 4.Flaxseeds have been proven to lower blood pressure & are specially helpful for those with high blood pressure. 5. Patanjali Roasted diet Flaxseeds black salt has zero percent trans fat & cholesterol. 
<b>Ingredients </b>
Flaxseed (98.25%), Black Salt (1.5%) Rice bran Oil, Antioxidant (INS 307b) 
<b>How to use </b>
Ready to eat. 
<b>Other Product Info </b>
Best before- 6 months from manufacturing date.",150 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690015702FlaxseedBlackSalt150g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690015702FlaxseedBlackSalt150g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedBlackSalt150g3_1690015702.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedBlackSalt150g4_1690015702.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedBlackSalt150g5_1690015702.png"
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-flaxseed-chili-lime/955,"natural-health-care,diet-food",Roasted Diet- Flaxseed Chili Lime,Roasted Diet- Flaxseed Chili Lime                             150 g,Roasted Diet- Flaxseed Chili Lime,"<b>Product Information</b>
Patanjali Roasted Diet Flaxseed Chili Lime is a healthy and nutritious snack made with Flaxseeds that helps in protecting against Breast colon and Prostate cancer also it is rich in Omega 3 fatty acids which keeps heart healthy. It can be enjoyed anytime as it has zero percent trans fat and zero percent cholesterol.
<b>Benefits </b>
Rich in protein. Rich in dietary fibre. Source of iron. 
<b>Ingredients </b>
Flaxseeds (93%), Rice Bran Oil, Iodized Salt, Sugar, Spices and Condiments (Chili (0.1 %), Coriander, Black Pepper, Cumin, Ginger, Fenugreek, Turmeric, Dried Green Mango, Garlic, Onion), Lemon Juice Powder (0.1%), Milk Solids, Hydrolysed Vegetable Protein (Soya), Acidity Regulator (INS 330), Antioxidant (INS 307b) 
<b>How to use </b>
Ready to eat. 
<b>Other Product Info </b>
Best before-6 months from manufacturing date.",150 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690012018FlaxseedChilliLime150g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690012018FlaxseedChilliLime150g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedChilliLime150g3_1690012018.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedChilliLime150g4_1690012018.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/FlaxseedChilliLime150g5_1690012018.png"
https://www.patanjaliayurved.net/product/natural-health-care/health-drinks/patanjali-bel-sharbat/781,"natural-health-care,health-drinks",Patanjali Bel Sharbat,Patanjali Bel Sharbat                             750 ml,Patanjali Bel Sharbat,"<b>Product Information</b>
Patanjali Bel Sharbat made with fresh Bel fruit that helps in digestive disorders. Useful in intestinal problems. It is 100% natural. Bel sharbat can beat tribute to its nutritive content, as well as vitamins and including vitamins A, B1, B2, C and minerals calcium, potassium and iron.
<b>Benefits </b>
1.The Bel Sherbet is a nutritious health drink as it is packed with various healthy ingredients. 2.The antioxidants present in this fruit cure gastric ulcer, aid in digestion, and treat diabetes. 3.bel is beneficial in treating tuberculosis, hepatitis, ulcer and digestive problems. 4.Bel being a rich source of iron acts as a natural blood purifier and increases red blood cell and hemoglobin count in blood. 5. It is a rich source of Vitamins A, B and C and the presence of these multivitamins make Bel the number one choice among fruits in the treatment of eye problems, digestive disorders, heart ailments, skin diseases and by preventing the body against infections and enhancing the overall immunity. 6.We use 2% bel pulp in the product than other. 
<b>Ingredients </b>
Bel (Aegle Marmelos) Base Material : Sugar Syrup Base (69.8) Citric Acid, Sodium Benzoate (0.075) Colour Flavour 
<b>How to use </b>
Add 3-4 teaspoonful to a glass of cold water & stir well. Add sugar if required or as directed by the physician. 
<b>Other Product Info </b>
Best before-12 months from manufacturing date.",750 ml,https://www.patanjaliayurved.net/assets/product_images/400x500/1689154016BelSharbat750ml1.png
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-roasted-mix-lime/961,"natural-health-care,diet-food",Roasted Diet- Roasted Mix. Lime,Roasted Diet- Roasted Mix. Lime                             125 g,Roasted Diet- Roasted Mix. Lime,"<b>Product Information</b>
Patanjali Roasted Diet Roasted Mix Lime is a healthy and nutritious snacks made from flaxseed. This is very useful for the treatment of breast colon, prostate cancer and keeps your heart healthy. It has zero percent trans fat and zero percent cholesterol.
<b>Benefits </b>
Patanjali Roasted Diet Roasted Mix Lime is beneficial in Breast colon, Prostate cancer, Keeps heart healthy. 
<b>Ingredients </b>
Bengal Gram (25%), Wheat Flakes (12.50%), Green Gram (11%), Sorghum Flakes (10%), Red Lentil (9%), Pearl Millet (6%), Moth (6%), Oats (5%), Flaxeed (5%), Palmolien Oil, Edible Commom Salt, Sugar, Spices and Condiments (Chilli, Coriander, Black Pepper, Cumin Ginger, Fenugreek, Turmeric, Dried Green Mango Powder, Garlic, Onion) Lemon Juice Poder (0.1%), Milk Solids, Hydrolysed Vegetable Protein (Soya), Acidity Regulator (Ins 330), Antioxidant (Ins 307b) 
<b>Other Product Info </b>
Best before-6 months from manufacturing date.",125 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690000806RoastedMixtureLime125g1(1).png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690000806RoastedMixtureLime125g1(2).png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RoastedMixtureLime125g1(3)_1690000806.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RoastedMixtureLime125g1(4)_1690000806.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/RoastedMixtureLime125g1(5)_1690000806.png"
https://www.patanjaliayurved.net/product/natural-health-care/diet-food/roasted-diet-quinoa-masala-flavour/960,"natural-health-care,diet-food",Roasted Diet- Quinoa Masala Flavour,Roasted Diet- Quinoa Masala Flavour                             80 g,Roasted Diet- Quinoa Masala Flavour,"<b>Product Information</b>
Patanjali roasted diet quinoa masala flavour snack is high in protein, nutritious snack made from the mother of all grains I.E. ""Quinoa"" which contains all essential nine amino acids and its gluten free. It can be enjoyed anytime without any guilt as it has zero percent cholesterol and zero percent trans fat.
<b>Benefits </b>
Maintains healthy weight Gluten free High in protein 
<b>Ingredients </b>
Quinoa (86%), Palmolien Oil, Spices & Condiments (Chilli, Onion, Coriander, Garlic, Ginger, Cumin), Edible Common Salt, Sugar, Milk Solids, Hydrolysed Vegetable Protien (Soya), Acidity Regulator (INS 330), Anticaking Agent (INS 551), Anti Oxidant (INS 307b) 
<b>Other Product Info </b>
Best before-6 months from manufacturing date.",80 g,"https://www.patanjaliayurved.net/assets/product_images/400x500/1690000864QuinoaPuffMasalaFlavour80g1.png,https://www.patanjaliayurved.net/assets/product_images/400x300/1690000864QuinoaPuffMasalaFlavour80g2.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuffMasalaFlavour80g3_1690000864.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuffMasalaFlavour80g4_1690000864.png,https://www.patanjaliayurved.net/assets/product_images/additional_images/QuinoaPuffMasalaFlavour80g5_1690000864.png"
