Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,Shipping Profile Name,Variant Tag,Facebook Pixel Id,Facebook Access Token,Product Stock Status,Shipping Fee,Base Cost Variant
,,Patanjali-Honey,Patanjali Honey250 g            ,"<b>Product Information</b>Patanjali Pure honey is a sweet aliment produced by honey bees and derived from the nectar of flowers and Best pure honey available with our standard. Honey gets its sweetness from the monosaccharide fructose and glucose and has approximately the same relative sweetness as that of granulated sugar (97% of the sweetness of sucrose, a disaccharide). Patanjali pure Natural Honey is rich in fructose, minerals, vitamins and other nutritious elements. Honey is not only a natural sweetener but a multifunctional food that offers ample health benefits.
<b>Benefits</b>
<b>Ingredients</b>Pure honey.
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,250 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685083987400x300.jpg,,Patanjali Honey250 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Hikick-Candy---Kacha-Aam-(Jar),Patanjali Hikick Candy - Kacha Aam (Jar)600 g            ,"<b>Product Information</b>Patanjali provides a different and delicious way to consume mango into the daily human life as a form of Candy. It has been prepared using the best ingredients found in nature and hence absolutely safe for the human consumption. Mango is a good source of vitamin C, Calcium and Iron.
<b>Benefits</b>
<b>Ingredients</b>Sugar,Liquid glucose,Dextrose,Mixed masala (1.5%),Iodiazed salt,Acidity regulator (INS 296, INS 330)
<b>How to use</b>
<b>Other Product Info</b>Best before-12 months from manufacturing date.",Patanjali,,,TRUE,,[],Size,600 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1616662267400x300.jpg,,Patanjali Hikick Candy - Kacha Aam (Jar)600 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Bel-Candy,Patanjali Bel Candy500 g            ,"<b>Product Information</b>Patanjali Bel Candy is made from high-quality fresh bel fruits which is known for its coolant effects. Bel fruit has great medicinal values. Bel has digestive and carminative properties which help to strengthen the digestive system and regulates bowel movement. It consists of carbohydrates, fats, protein, vitamin C and minerals like iron, phosphorus, carotene and thiamin. Bel cleanses the liver and strengthens liver functions. The candy is 100% natural and has no known side effects. Bel with sugar and glucose with all the health benefits is an ideal treat for everyone.
<b>Benefits</b>Helps to improve strength of digestive system. Helps to improve liver function. Helpful in jaundice. Provide relief from diarrhea and dysentery. Helps to prevent scurvy.
<b>Ingredients</b>Bel (Aegle marmelos) fruit (55%), Sugar, Glucose powder,Acidity regulator (INS 330), Preservative (INS 211)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685593435400x300.jpg,,Patanjali Bel Candy500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Amla-Candy,Patanjali Amla Candy 500 g            ,"<b>Product Information</b>Patanjali Amla Candy is one of the best quality product of Patanjali. Amla Candy having amla which helps in maintaining good health and cures various ailments. Amla Candy is a rich source of vitamin C. Candy from Patanjali is another additional good thing since it is a brand that offers products typically based on Ayurveda and modern quality testing tools.
<b>Benefits</b>
<b>Ingredients</b>Each 10 g contains:Sugar (Saccharum officinalis) (2.5 g)Amla (Emblica officinalis) Glucose (2.0 g)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685100304400x300.jpg,,Patanjali Amla Candy 500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Chyawanprabha-Advance-No-Added-Sugar,Patanjali Chyawanprabha Advance No Added Sugar750 g            ,"<b>Product Information</b>Patanjali Chyawanprabha Advance is a scientifically formulated herbal product with no added sugar having more than 40 herbs. To understand the prevalence of diabetes in india. Patanjali chyawanprabha 
<b>Benefits</b>
<b>Ingredients</b>Oligofructose,Sweetener (INS 420 (i)), Bansalochan,Pippali,Adusa (1.2%),Sunflower oil,Natural and nature identical flavoring substances,Shaalparni,Prishnaparni,Bruhati,Kantkari-shwet,Gokhru,Mudadaparni,Bilwa,Agnimanth,Sonapatha,Gambhari,Balla,Mashaparni,kakadasingi,Bhmyamalaki,Jeevanti,Harad (0.61 %),Giloy,Ridhi,Risabhaka,Kachur,Vidaari,Nagaramotha,'Punarnava,Meda neel kamal,Kakoli,Ashwagandha,Mulethi,Adrakha (0.34 %),Draksha,Lavanga (0.20%),Shatavari bhed,Chabya,Chitraka,Dalchini,Chhoti elaichi (0.16),Tejpatra (0.16%),Nagkeshar,Kali Mircha (0.08%),Humectant (INS 422),Sweetener (INS 955, INS 950),Preservative (INS 211, INS 202),Kumkum (Kesar)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,750 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685611602400x300.jpg,,Patanjali Chyawanprabha Advance No Added Sugar750 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Amla-Chatpata-Candy,Patanjali Amla Chatpata Candy500 g            ,"<b>Product Information</b>Patanjali Amla Chatpata Candy product having benefits of Amla with a different taste which tickle your taste buds. Amla chatpata candy having amla which helps in maintaining good health and helpful in various diseases. Amla chatpata candy is a rich source of vitamin C. Candy from Patanjali is another additional good thing since it is a brand tha 180005259 
<b>Benefits</b>
<b>Ingredients</b>Amla (Emblica Officinalis) 42%,Sugar,Mixed Spices, Iodized Salt, Black Salt,Acidity Regulator (INS 330),Preservative (INS 211)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1685101520400x300.jpg,,Patanjali Amla Chatpata Candy500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Aloevera-Pineapple-Jam,Patanjali Aloevera Pineapple Jam500 g            ,"<b>Product Information</b> Patanjali pineapple jam is a delicious spread made with pineapple fruit. It can be eaten with bread, paranthas and can be used in making tasty milkshakes.
<b>Benefits</b>Provides vitamin A and C, protects from free radicals.Healthy.
<b>Ingredients</b>SugarPineapple fruit pulp (31.5%)Aloevera pulp (31.5%)Thikner (INS 440)Acidity regulator (INS 330) andPreservatives (INS 211)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,500 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1530348972aloepineapple400-300.png,,Patanjali Aloevera Pineapple Jam500 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Ginger-Candy,Patanjali Ginger Candy100 g            ,"<b>Product Information</b>Patanjali Ginger Candy helps in maintaining good health and cures various ailments since it has various medicinal properties. Ginger helps in reducing muscle soreness and throat related problems. Candy from Patanjali is another additional good thing since it is a brand that offer products typically based on Ayurveda and modern quality testing tools.
<b>Benefits</b>
<b>Ingredients</b>
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,100 g,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1515232876gingercandy400x300.png,,Patanjali Ginger Candy100 g            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Amla-Pickle,Patanjali Amla Pickle1 kg            ,"<b>Product Information</b>Patanjali Amla Pickle (Amla Achaar) has got the goodness of pure Amla fruit that is high in the source of vitamin C. Pickle from Patanjali is another additional good thing, since it is a brand that offers products typically based on the principles of Ayurveda.
<b>Benefits</b>1.Rich in vitamin – C, helps to drop down the blood sugar level by facilitates proper absorption of insulin. 2. It increases the body immune system and prevent from common cough and cold.3. Help full in hair fall control.4. Long self life because of high mustard oil content (1-12)% mean while other products in the market have only 3- 4 % of oil.
<b>Ingredients</b>Amla Fruit Raw (71.9%), Mustard Oil, Iodized salt, Mixed Spices, Acidity Regulator (INS 260) and Preservative (INS 211).
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1649675105400x300.jpg,,Patanjali Amla Pickle1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
,,Patanjali-Extra-Fibre-Atta,Patanjali Extra Fibre Atta1 kg            ,"<b>Product Information</b>Flour is best food stuff from health point of view. It is made of wheat and good for your health. Patanjali extra fiber atta foods rich in high fibre produces slower rate of stomach emptying and bulk faces pass more quickly thru large intestine and helps in keeping stomach health at optimum level. Diets in high fibre tend to be low in energy and can be useful for weight control. Patanjali extra fibre atta provides proteins vitamins and minerals for healthy lifestyle.
<b>Benefits</b>1.Normalizes bowel movements. Dietary fiber increases the weight and size of your stool and softens it.2.Helps maintain bowel health.3.Lowers cholesterol levels.4.Helps control blood sugar levels.5.Aids in achieving healthy weight. 6.Helps you live longer.
<b>Ingredients</b>Whole Wheat (85%), Wheat Bran (15%), Oat Flour (5%)
<b>How to use</b>
<b>Other Product Info</b>",Patanjali,,,TRUE,,[],Size,1 kg,,,,,,,,,continue,manual,0,0,true,TRUE,,https://www.patanjaliayurved.net/assets/product_images/400x300/1610602347400x300.jpg,,Patanjali Extra Fibre Atta1 kg            ,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,
